Unnamed: 0.1,Unnamed: 0,instruct,qa
0,0,"F: Natalia hat im April Clips an 48 ihrer Freunde verkauft, und dann hat sie im Mai halb so viele Clips verkauft. Wie viele Clips hat Natalia im April und Mai verkauft? A: Denken wir Schritt für Schritt. Natalia verkaufte 48/2 = <<48/2=24>> 24 Clips im Mai. Natalia verkaufte insgesamt 48+24 = <<48+24=72>> 72 Clips im April und Mai. #### 72","F: Natalia hat im April Clips an 48 ihrer Freunde verkauft, und dann hat sie im Mai halb so viele Clips verkauft. Wie viele Clips hat Natalia im April und Mai verkauft? A: Denken wir Schritt für Schritt. Natalia verkaufte 48/2 = <<48/2=24>> 24 Clips im Mai. Natalia verkaufte insgesamt 48+24 = <<48+24=72>> 72 Clips im April und Mai. Die Antwort ist 72."
1,1,"F: Weng verdient 12 Dollar pro Stunde als Babysitterin. Gestern hat sie gerade 50 Minuten als Babysitterin gearbeitet. Wie viel hat sie verdient? A: Denken wir Schritt für Schritt. Weng verdient 12/60 = $ <<12/60=0.2>> 0,2 pro Minute. Sie arbeitete 50 Minuten und verdiente 0,2 x 50 = $ <<0.2*50=10>> 10. #### 10","F: Weng verdient 12 Dollar pro Stunde als Babysitterin. Gestern hat sie gerade 50 Minuten als Babysitterin gearbeitet. Wie viel hat sie verdient? A: Denken wir Schritt für Schritt. Weng verdient 12/60 = $ <<12/60=0.2>> 0,2 pro Minute. Sie arbeitete 50 Minuten und verdiente 0,2 x 50 = $ <<0.2*50=10>> 10. Die Antwort ist 10."
2,2,"F: Betty spart Geld für eine neue Brieftasche, die 100 Dollar kostet. Betty hat nur die Hälfte des Geldes, das sie braucht. Ihre Eltern beschlossen, ihr dafür 15 Dollar zu geben, und ihre Großeltern doppelt so viel wie ihre Eltern. Wie viel Geld braucht Betty noch, um die Brieftasche zu kaufen? A: Denken wir Schritt für Schritt. Am Anfang hat Betty nur 100 / 2 = $ <<100/2=50>> 50. Bettys Großeltern gaben ihr 15 * 2 = $ <<15*2=30>> 30. Das bedeutet, Betty braucht 100 - 50 - 30 - 15 = $ <<100-50-30-15=5>> 5 mehr. #### 5","F: Betty spart Geld für eine neue Brieftasche, die 100 Dollar kostet. Betty hat nur die Hälfte des Geldes, das sie braucht. Ihre Eltern beschlossen, ihr dafür 15 Dollar zu geben, und ihre Großeltern doppelt so viel wie ihre Eltern. Wie viel Geld braucht Betty noch, um die Brieftasche zu kaufen? A: Denken wir Schritt für Schritt. Am Anfang hat Betty nur 100 / 2 = $ <<100/2=50>> 50. Bettys Großeltern gaben ihr 15 * 2 = $ <<15*2=30>> 30. Das bedeutet, Betty braucht 100 - 50 - 30 - 15 = $ <<100-50-30-15=5>> 5 mehr. Die Antwort ist 5."
3,3,"F: Julie liest ein 120-seitiges Buch. Gestern konnte sie 12 Seiten lesen und heute hat sie doppelt so viele Seiten gelesen wie gestern. Wenn sie morgen die Hälfte der restlichen Seiten lesen will, wie viele Seiten sollte sie dann lesen? A: Denken wir Schritt für Schritt. Maila hat heute 12 x 2 = <<12*2=24>> 24 Seiten gelesen. Sie konnte also seit gestern insgesamt 12 + 24 = <<12+24=36>> 36 Seiten lesen. Es sind noch 120 - 36 = <<120-36=84>> 84 Seiten zu lesen. Da sie morgen die Hälfte der verbleibenden Seiten lesen will, sollte sie 84/2 = <<84/2=42>> 42 Seiten lesen. #### 42","F: Julie liest ein 120-seitiges Buch. Gestern konnte sie 12 Seiten lesen und heute hat sie doppelt so viele Seiten gelesen wie gestern. Wenn sie morgen die Hälfte der restlichen Seiten lesen will, wie viele Seiten sollte sie dann lesen? A: Denken wir Schritt für Schritt. Maila hat heute 12 x 2 = <<12*2=24>> 24 Seiten gelesen. Sie konnte also seit gestern insgesamt 12 + 24 = <<12+24=36>> 36 Seiten lesen. Es sind noch 120 - 36 = <<120-36=84>> 84 Seiten zu lesen. Da sie morgen die Hälfte der verbleibenden Seiten lesen will, sollte sie 84/2 = <<84/2=42>> 42 Seiten lesen. Die Antwort ist 42."
4,4,F: James schreibt zweimal pro Woche einen 3-seitigen Brief an zwei verschiedene Freunde. Wie viele Seiten schreibt er pro Jahr? A: Denken wir Schritt für Schritt. Er schreibt jedem Freund 3*2= <<3*2=6>> 6 Seiten pro Woche also schreibt er 6*2= <<6*2=12>> 12 Seiten jede Woche das bedeutet er schreibt 12*52= <<12*52=624>> 624 Seiten pro Jahr #### 624,F: James schreibt zweimal pro Woche einen 3-seitigen Brief an zwei verschiedene Freunde. Wie viele Seiten schreibt er pro Jahr? A: Denken wir Schritt für Schritt. Er schreibt jedem Freund 3*2= <<3*2=6>> 6 Seiten pro Woche also schreibt er 6*2= <<6*2=12>> 12 Seiten jede Woche das bedeutet er schreibt 12*52= <<12*52=624>> 624 Seiten pro Jahr die Antwort ist 624.
5,5,"F: Mark hat einen Garten mit Blumen. Er pflanzte darin Pflanzen von drei verschiedenen Farben. Zehn von ihnen sind gelb, und es gibt 80% mehr von denen in lila. Es gibt nur 25% mehr grüne Blüten als gelbe und lila Blüten. Wie viele Blumen hat Mark in seinem Garten? A: Denken wir Schritt für Schritt. Es gibt 80/100 * 10 = <<80/100*10=8>> 8 mehr lila Blüten als gelbe Blüten. Also im Garten von Mark gibt es 10 + 8 = <<10+8=18>> 18 lila Blumen. Die Summe der lila und gelben Blüten beträgt 10 + 18 = <<10+18=28>> 28 Blüten. Das heißt, in Mark's Garten gibt es 25/100 * 28 = <<25/100*28=7>> 7 grüne Blumen. Also hat Mark insgesamt 28 + 7 = <<28+7=35>> 35 Pflanzen in seinem Garten. #### 35","F: Mark hat einen Garten mit Blumen. Er pflanzte darin Pflanzen von drei verschiedenen Farben. Zehn von ihnen sind gelb, und es gibt 80% mehr von denen in lila. Es gibt nur 25% mehr grüne Blüten als gelbe und lila Blüten. Wie viele Blumen hat Mark in seinem Garten? A: Denken wir Schritt für Schritt. Es gibt 80/100 * 10 = <<80/100*10=8>> 8 mehr lila Blüten als gelbe Blüten. Also im Garten von Mark gibt es 10 + 8 = <<10+8=18>> 18 lila Blumen. Die Summe der lila und gelben Blüten beträgt 10 + 18 = <<10+18=28>> 28 Blüten. Das heißt, in Mark's Garten gibt es 25/100 * 28 = <<25/100*28=7>> 7 grüne Blumen. Also hat Mark insgesamt 28 + 7 = <<28+7=35>> 35 Pflanzen in seinem Garten. Die Antwort ist 35."
6,6,"F: Albert fragt sich, wie viel Pizza er an einem Tag essen kann. Er kauft zwei große und zwei kleine Pizzen. Eine große Pizza hat 16 Scheiben und eine kleine 8 Scheiben. Wenn er alles isst, wie viele Stücke isst er an diesem Tag? A: Denken wir Schritt für Schritt. Er isst 32 von den größten Pizzen, weil 2 x 16 = <<2*16=32>> 32 Er isst 16 von der kleinen Pizza, weil 2 x 8 = <<2*8=16>> 16 Er isst 48 Stücke, weil 32 + 16 = <<32+16=48>> 48 #### 48","F: Albert fragt sich, wie viel Pizza er an einem Tag essen kann. Er kauft zwei große und zwei kleine Pizzen. Eine große Pizza hat 16 Scheiben und eine kleine 8 Scheiben. Wenn er alles isst, wie viele Stücke isst er an diesem Tag? A: Denken wir Schritt für Schritt. Er isst 32 von den größten Pizzen, weil 2 x 16 = <<2*16=32>> 32 Er isst 16 von der kleinen Pizza, weil 2 x 8 = <<2*8=16>> 16 Er isst 48 Stücke, weil 32 + 16 = <<32+16=48>> 48 Die Antwort ist 48."
7,7,"F: Ken schuf ein Pflegepaket, um es seinem Bruder zu schicken, der im Internat war. Ken legte eine Schachtel auf eine Waage, und dann schüttete er genügend Marmeladebohnen in die Schachtel, um das Gewicht auf 2 Pfund zu bringen. Dann fügte er genug Brownies hinzu, um das Gewicht zu verdreifachen. Als Nächstes fügte er noch 2 Pfund Jelly Beans hinzu. Und schließlich fügte er genügend Gummiwürmer hinzu, um das Gewicht wieder zu verdoppeln. Wie hoch war das Gewicht der Schachtel in Pfund? A: Denken wir Schritt für Schritt. Zu den anfänglichen 2 Pfund Geleebohnen fügte er genügend Brownies hinzu, um das Gewicht zu verdreifachen, was das Gewicht auf 2*3= <<2*3=6>> 6 Pfund brachte. Als nächstes fügte er ein weiteres Pfund Geleebohnen hinzu, so daß das Gewicht 6+2= <<6+2=8>> 8 Pfund betrug. Und schließlich fügte er genügend Gummiwürmer hinzu, um das Gewicht wieder zu verdoppeln, zu einem Endgewicht von 8*2= <<8*2=16>> 16 Pfund. #### 16","F: Ken schuf ein Pflegepaket, um es seinem Bruder zu schicken, der im Internat war. Ken legte eine Schachtel auf eine Waage, und dann schüttete er genügend Marmeladebohnen in die Schachtel, um das Gewicht auf 2 Pfund zu bringen. Dann fügte er genug Brownies hinzu, um das Gewicht zu verdreifachen. Als Nächstes fügte er noch 2 Pfund Jelly Beans hinzu. Und schließlich fügte er genügend Gummiwürmer hinzu, um das Gewicht wieder zu verdoppeln. Wie hoch war das Gewicht der Schachtel in Pfund? A: Denken wir Schritt für Schritt. Zu den anfänglichen 2 Pfund Geleebohnen fügte er genügend Brownies hinzu, um das Gewicht zu verdreifachen, was das Gewicht auf 2*3= <<2*3=6>> 6 Pfund brachte. Als nächstes fügte er ein weiteres Pfund Geleebohnen hinzu, so daß das Gewicht 6+2= <<6+2=8>> 8 Pfund betrug. Und schließlich fügte er genügend Gummiwürmer hinzu, um das Gewicht wieder zu verdoppeln, zu einem Endgewicht von 8*2= <<8*2=16>> 16 Pfund. Die Antwort ist 16."
8,8,"F: Alexis bewirbt sich für einen neuen Job und hat ein neues Set Geschäftskleidung für das Vorstellungsgespräch gekauft. Sie ging in ein Kaufhaus mit einem Budget von $200 und gab $30 für ein aufgeknöpftes Hemd aus, $46 für eine Anzugshose, $38 für einen Anzugrock, $11 für Socken, und 18 Dollar auf einen Gürtel. Sie hat auch ein Paar Schuhe gekauft, aber die Quittung dafür verloren. Sie hat noch 16 Dollar von ihrem Budget übrig. Wie viel hat Alexis für die Schuhe bezahlt? A: Denken wir Schritt für Schritt. S ist der Betrag, den Alexis für die Schuhe bezahlt hat. Sie hat S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>> 143 ausgegeben. Sie verbrauchte alles bis auf 16 Dollar ihres Budgets, also S + 143 = 200 - 16 = 184. So bezahlte Alexis S = 184 - 143 = $ <<184-143=41>> 41 für die Schuhe. #### 41","F: Alexis bewirbt sich für einen neuen Job und hat ein neues Set Geschäftskleidung für das Vorstellungsgespräch gekauft. Sie ging in ein Kaufhaus mit einem Budget von $200 und gab $30 für ein aufgeknöpftes Hemd aus, $46 für eine Anzugshose, $38 für einen Anzugrock, $11 für Socken, und 18 Dollar auf einen Gürtel. Sie hat auch ein Paar Schuhe gekauft, aber die Quittung dafür verloren. Sie hat noch 16 Dollar von ihrem Budget übrig. Wie viel hat Alexis für die Schuhe bezahlt? A: Denken wir Schritt für Schritt. S ist der Betrag, den Alexis für die Schuhe bezahlt hat. Sie hat S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>> 143 ausgegeben. Sie verbrauchte alles bis auf 16 Dollar ihres Budgets, also S + 143 = 200 - 16 = 184. So bezahlte Alexis S = 184 - 143 = $ <<184-143=41>> 41 für die Schuhe. Die Antwort ist 41."
9,9,"F: Tina verdient 18 Dollar die Stunde. Wenn sie mehr als 8 Stunden pro Schicht arbeitet, hat sie Anspruch auf Überstunden, die aus Ihrem Stundenlohn + 1/2 Ihres Stundenlohns bezahlt werden. Wenn sie 5 Tage lang täglich 10 Stunden arbeitet, wie viel Geld verdient sie? A: Denken wir Schritt für Schritt. Sie arbeitet 8 Stunden am Tag für $18 pro Stunde, also macht sie 8*18 = $<<8*18=144.00>> 144.00 pro 8-Stunden-Schicht. Sie arbeitet 10 Stunden am Tag und alles über 8 Stunden ist berechtigt für Überstunden, So ist es. Sie erhält 10-8 = <<10-8=2>> 2 Stunden Überstunden Überstunden werden als Zeit und eine Hälfte berechnet und sie verdient $18/Stunde also ist ihr Überstundengehalt 18*.5 = $<<18*.5=9.00>> 9.00 Ihr Überstundengehalt ist 18+9 = $<<18+9=27.00>> 27.00 Ihr Grundgehalt ist $144.00 pro 8-Stunden-Schicht und sie arbeitet 5 Tage und verdient 5 * $144 = $<<144*5=720.00>> 720.00 Ihr Überstundengehalt ist $27.00 pro Stunde und sie arbeitet 2 Stunden Überstunden pro Tag und verdient 27*2 = $<<27*2=54.00>> 54.00 in Überstundengehalt 2 Stunden Überstundengehalt für 5 Tage bedeutet sie verdient 54*5 = $270.00 In 5 Tagen ist ihr Grundgehalt $20.700 und sie verdient $270.00 in Überstunden also verdient sie $720 + $270 = $<<720+270=990.00>> 990.00 #### 990","F: Tina verdient 18 Dollar die Stunde. Wenn sie mehr als 8 Stunden pro Schicht arbeitet, hat sie Anspruch auf Überstunden, die aus Ihrem Stundenlohn + 1/2 Ihres Stundenlohns bezahlt werden. Wenn sie 5 Tage lang täglich 10 Stunden arbeitet, wie viel Geld verdient sie? A: Denken wir Schritt für Schritt. Sie arbeitet 8 Stunden am Tag für $18 pro Stunde, also macht sie 8*18 = $<<8*18=144.00>> 144.00 pro 8-Stunden-Schicht. Sie arbeitet 10 Stunden am Tag und alles über 8 Stunden ist berechtigt für Überstunden, So ist es. Sie bekommt 10-8 = <<10-8=2>> 2 Stunden Überstunden Überstunden werden als Zeit und eine Hälfte berechnet und sie verdient $18/Stunde also ihr Überstundengehalt ist 18*.5 = $<<18*.5=9.00>> 9.00 Ihr Überstundengehalt ist 18+9 = $<<18+9=27.00>> 27.00 Ihr Grundgehalt ist $144.00 pro 8-Stunden-Schicht und sie arbeitet 5 Tage und verdient 5 * $144 = $<<144*5=720.00>> 720.00 Ihr Überstundengehalt ist $27.00 pro Stunde und sie arbeitet 2 Stunden Überstunden pro Tag und verdient 27*2 = $<<27*2=54.00>> 54.00 in Überstundengehalt 2 Stunden Überstundengehalt für 5 Tage bedeutet sie verdient 54*5 = $270.00 In 5 Tagen ihr Grundgehalt ist $20.700 und sie verdient $270.00 in Überstunden also sie verdient $720 + $270 = $<<720+270=990.00>> 990.00 Die Antwort ist 990"
